Mapping Category,Mapping Value,Taxonomy Code
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos fixos tangíveis - Depreciações acumuladas - Equipamentos biológicos,156
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos fixos tangíveis - Depreciações acumuladas - Outros ativos fixos tangíveis,157
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos intangíveis - Goodwill,158
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos intangíveis - Projetos de desenvolvimento,159
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos intangíveis - Programas de computador,160
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos intangíveis - Propriedade industrial,161
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos intangíveis - Outros ativos intangíveis,162
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos intangíveis - Amortizações acumuladas - Goodwill,163
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos intangíveis - Amortizações acumuladas - Projetos de desenvolvimento,164
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos intangíveis - Amortizações acumuladas - Programas de computador,165
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos intangíveis - Amortizações acumuladas - Propriedade industrial,166
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos intangíveis - Amortizações acumuladas - Outros ativos intangíveis,167
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Investimentos em curso - Investimentos financeiros em curso,168
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Investimentos em curso - Ativos fixos tangíveis em curso,169
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Investimentos em curso - Ativos intangíveis em curso,170
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Investimentos em curso - Adiantamentos por conta de investimentos - Investimentos financeiros em curso,171
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Investimentos em curso - Adiantamentos por conta de investimentos - Ativos fixos tangíveis em curso,172
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Investimentos em curso - Adiantamentos por conta de investimentos - Ativos intangíveis em curso,173
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Capital subscrito,174
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ações (quotas) próprias - Valor nominal,175
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ações (quotas) próprias - Descontos e prémios,176
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outros instrumentos de capital próprio*,177
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Prémios de emissão,178
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Reservas - Reservas legais,179
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Reservas - Outras reservas,180
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Resultados transitados,181
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Excedentes de revalorização de ativos fixos tangíveis * - Reavaliações decorrentes de diplomas legais,182
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Excedentes de revalorização de ativos fixos tangíveis * - Outros excedentes,183
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras variações no capital próprio - Subsídios - Subsídios atribuídos,184
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras variações no capital próprio - Subsídios - Ajustamentos em subsídios,185
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras variações no capital próprio - Doações,186
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras variações no capital próprio - Outras,187
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Custo das mercadorias vendidas e das matérias consumidas - Mercadorias,188
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Custo das mercadorias vendidas e das matérias consumidas - Matérias -primas, subsidiárias e de consumo",189
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Fornecimentos e serviços externos - Subcontratos,190
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Fornecimentos e serviços externos - Serviços especializados,191
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Fornecimentos e serviços externos - Materiais,192
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Fornecimentos e serviços externos - Energia e fluidos,193
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Fornecimentos e serviços externos - Deslocações, estadas e transportes",194
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Fornecimentos e serviços externos - Serviços diversos,195
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos com o pessoal - Remunerações dos órgãos sociais,196
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos com o pessoal - Remunerações do pessoal,197
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos com o pessoal - Indemnizações,198
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos com o pessoal - Encargos sobre remunerações,199
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos com o pessoal - Seguros de acidentes no trabalho e doenças profissionais,200
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos com o pessoal - Gastos de ação social,201
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos com o pessoal - Outros gastos com o pessoal,202
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos de depreciação e de amortização - Ativos fixos tangíveis - Terrenos e recursos naturais,203
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos de depreciação e de amortização - Ativos fixos tangíveis - Edifícios e outras construções,204
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos de depreciação e de amortização - Ativos fixos tangíveis - Equipamento básico,205
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos de depreciação e de amortização - Ativos fixos tangíveis - Equipamento de transporte,206
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos de depreciação e de amortização - Ativos fixos tangíveis - Equipamento administrativo,207
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos de depreciação e de amortização - Ativos fixos tangíveis - Equipamentos biológicos,208
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos de depreciação e de amortização - Ativos fixos tangíveis - Outros ativos fixos tangíveis,209
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos de depreciação e de amortização - Ativos intangíveis - Goodwill,210
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos de depreciação e de amortização - Ativos intangíveis - Projetos de desenvolvimento,211
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos de depreciação e de amortização - Ativos intangíveis - Programas de computador,212
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos de depreciação e de amortização - Ativos intangíveis - Propriedade industrial,213
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Gastos de depreciação e de amortização - Ativos intangíveis - Outros ativos intangíveis,214
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Perdas por imparidade - Instrumentos financeiros,215
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Perdas por imparidade - Em dívidas a receber - Clientes,216
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Perdas por imparidade - Em dívidas a receber - Outros devedores,217
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Perdas por imparidade - Em inventários - Mercadorias,218
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Perdas por imparidade - Em inventários - Matérias - primas, subsidiárias e de consumo",219
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Perdas por imparidade - Em inventários - Produtos acabados e intermédios,220
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Perdas por imparidade - Em inventários - Subprodutos, desperdícios, resíduos e refugos",221
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Perdas por imparidade - Em inventários - Produtos e trabalhos em curso,222
