Mapping Category,Mapping Value,Standard Account ID,Account Description,Mapping Key
NO-SAFT: 4 Digit Standard Accounts,280,2772,Skyldig finansskatt av lønn,
NO-SAFT: 4 Digit Standard Accounts,281,2773,Betalt finansskatt av lønn,
NO-SAFT: 4 Digit Standard Accounts,282,2780,Påløpt arbeidsgiveravgift påløpt lønn,
NO-SAFT: 4 Digit Standard Accounts,283,2781,Påløpt arbeidsgiveravgift ferielønn,
NO-SAFT: 4 Digit Standard Accounts,284,2782,Påløpt arbeidsgiveravgift andre honorarer,
NO-SAFT: 4 Digit Standard Accounts,285,2783,Påløpt finansskatt påløpt lønn,
NO-SAFT: 4 Digit Standard Accounts,286,2784,Påløpt finansskatt ferielønn,
NO-SAFT: 4 Digit Standard Accounts,287,2785,Påløpt finansskatt andre honorarer,
NO-SAFT: 4 Digit Standard Accounts,288,2790,Andre offentlige avgifter,
NO-SAFT: 4 Digit Standard Accounts,289,2800,Avsatt utbytte,
NO-SAFT: 4 Digit Standard Accounts,290,2900,Forskudd fra kunder,
NO-SAFT: 4 Digit Standard Accounts,291,2910,Gjeld til ansatte,
NO-SAFT: 4 Digit Standard Accounts,292,2915,Gjeld til eiere,
NO-SAFT: 4 Digit Standard Accounts,293,2920,Gjeld til selskap i samme konsern,
NO-SAFT: 4 Digit Standard Accounts,294,2930,Skyldig lønn,
NO-SAFT: 4 Digit Standard Accounts,295,2940,Skyldige feriepenger,
NO-SAFT: 4 Digit Standard Accounts,296,2945,Utbetalte feriepenger,
NO-SAFT: 4 Digit Standard Accounts,297,2950,Påløpt rente,
NO-SAFT: 4 Digit Standard Accounts,298,2960,Annen påløpt kostnad,
NO-SAFT: 4 Digit Standard Accounts,299,2965,Forskuddsbetalt inntekt,
NO-SAFT: 4 Digit Standard Accounts,300,2970,Fremtidig garantiytelse,
NO-SAFT: 4 Digit Standard Accounts,301,2975,Fremtidig serviceytelse,
