Mapping Category,Mapping Value,Taxonomy Code
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Perdas por imparidade acumuladas - Lucros disponíveis,119
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Perdas por imparidade acumuladas - Empréstimos concedidos — empresa-mãe (CORRENTE),120
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Perdas por imparidade acumuladas - Empréstimos concedidos — empresa-mãe (NÃO CORRENTE),121
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Perdas por imparidade acumuladas - Outras operações (CORRENTE),122
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Perdas por imparidade acumuladas - Outras operações (NÃO CORRENTE),123
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Fornecedores de investimentos - Fornecedores de investimentos — contas gerais - (CORRENTE),124
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Fornecedores de investimentos - Fornecedores de investimentos — contas gerais - (NÃO CORRENTE),125
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Fornecedores de investimentos - Facturas em recepção e conferência - (CORRENTE),126
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Fornecedores de investimentos - Facturas em recepção e conferência - (NÃO CORRENTE),127
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Fornecedores de investimentos - Adiantamentos a fornecedores de investimentos - (CORRENTE),128
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Fornecedores de investimentos - Adiantamentos a fornecedores de investimentos - (NÃO CORRENTE),129
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Devedores e credores por acréscimos (periodização económica)* - Devedores por acréscimos de rendimentos,130
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Devedores e credores por acréscimos (periodização económica)* - Credores por acréscimos de gastos,131
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Benefícios pós - emprego,132
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Impostos diferidos - Ativos por impostos diferidos,133
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Impostos diferidos - Passivos por impostos diferidos,134
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Credores por subscrições não liberadas - (CORRENTE),135
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Credores por subscrições não liberadas - (NÃO CORRENTE),136
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Adiantamentos por conta de vendas,137
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Outros devedores e credores - (CORRENTE),138
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Outros devedores e credores - (NÃO CORRENTE),139
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Fornecedores de investimentos - Adiantamentos a fornecedores de investimentos (CORRENTE),140
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Fornecedores de investimentos - Adiantamentos a fornecedores de investimentos (NÃO CORRENTE),141
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Devedores e credores por acréscimos (periodização económica)* - Devedores por acréscimos de rendimentos,142
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Impostos diferidos - Ativos por impostos diferidos,143
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Outros devedores e credores - (CORRENTE),144
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Outros devedores e credores - (NÃO CORRENTE),145
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Diferimentos - Gastos a reconhecer,146
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Diferimentos - Rendimentos a reconhecer,147
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Provisões - Impostos,148
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Provisões - Garantias a clientes,149
